Track Name,Artist Name,Album Name,Disc Number,Track Number
New Thang,Redfoo,Party Rock Mansion,1,8
Scary Monsters and Nice Sprites,Skrillex,Scary Monsters and Nice Sprites EP,1,2
Waves - Robin Schulz Radio Edit,"Mr. Probz, Robin Schulz",Waves (Robin Schulz Radio Edit),1,1
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,"Avicii, Nicky Romero",I Could Be The One [Avicii vs Nicky Romero],1,1
Wiggle (feat. Snoop Dogg),"Jason Derulo, Snoop Dogg",Talk Dirty,1,2
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,Listen,1,17
We Found Love,"Rihanna, Calvin Harris",Talk That Talk (Deluxe),1,3
Are You With Me - Radio Edit,Lost Frequencies,Are You With Me,1,1
All About That Bass,Meghan Trainor,Title (Deluxe),1,2
King,Years & Years,Communion (Deluxe),1,8
Ain't Nobody (Loves Me Better),"Felix Jaehn, Jasmine Thompson",Felix Jaehn,1,1
Talking Body,Tove Lo,Queen Of The Clouds,1,4
On My Mind,Ellie Goulding,Delirium (Deluxe),1,5
Headlights (feat. Ilsey),"Robin Schulz, Ilsey",Sugar,1,1
Lips Are Movin,Meghan Trainor,Title (Deluxe),1,11
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],1,1
Talk Dirty (feat. 2 Chainz),"Jason Derulo, 2 Chainz",Talk Dirty,1,1
Roar,Katy Perry,PRISM (Deluxe),1,1
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,"Lana Del Rey, Cedric Gervais",Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),1,1
#SELFIE,The Chainsmokers,#SELFIE,1,1
You Make Me,Avicii,True,1,2
The Monster,"Eminem, Rihanna",The Marshall Mathers LP2,1,12
Treasure,Bruno Mars,Unorthodox Jukebox,1,4
All of Me (Tiësto's Birthday Treatment Remix) - Radio Edit,"John Legend, Jason Agel, Tiësto",Love In The Future (Special Edition),1,21
Ghost Town,Adam Lambert,The Original High (Deluxe Version),1,1
Good For You,"Selena Gomez, A$AP Rocky",Good For You,1,1
Marvin Gaye (feat. Meghan Trainor),"Charlie Puth, Meghan Trainor",Nine Track Mind,1,3
Lush Life,Zara Larsson,Lush Life,1,1
Hold Back The River,James Bay,Chaos And The Calm,1,2
Habits (Stay High),Tove Lo,Queen Of The Clouds,1,13
Geronimo,Sheppard,Bombs Away,1,1
Don't Worry (feat. Ray Dalton),"Madcon, Ray Dalton",Don't Worry (feat. Ray Dalton),1,1
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,"Robin Schulz, Jasmine Thompson",Prayer,1,3
Trap Queen,Fetty Wap,Fetty Wap (Deluxe),1,1
Like I Can,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),1,7
This Is How We Do,Katy Perry,PRISM (Deluxe),1,7
Addicted To You,Avicii,True,1,4
Can't Remember to Forget You,"Shakira, Rihanna",Shakira.,1,2
Blurred Lines,"Robin Thicke, T.I., Pharrell Williams",Blurred Lines (Deluxe),1,1
Wrecking Ball,Miley Cyrus,Bangerz (Deluxe Version),1,6
Hideaway,Kiesza,Sound Of A Woman,1,1
Team,Lorde,Pure Heroine,1,6
Shower,Becky G,Shower,1,1
Latch,"Disclosure, Sam Smith",Settle (Special Edition),1,3
Magic,Coldplay,Ghost Stories,1,2
This Is What It Feels Like,"Armin van Buuren, Trevor Guthrie",Intense,1,2
Riptide,Vance Joy,Dream Your Life Away (Special Edition),1,4
The Heart Wants What It Wants,Selena Gomez,For You,1,1
I Bet My Life,Imagine Dragons,Smoke + Mirrors,1,5
Daylight,Maroon 5,Overexposed (Deluxe),1,3
Budapest,George Ezra,Wanted on Voyage,1,2
Steal My Girl,One Direction,FOUR (Deluxe),1,1
El Perdón,"Nicky Jam, Enrique Iglesias",El Perdón (w/ Enrique Iglesias),1,1
Classic,MKTO,MKTO,1,2
Habits (Stay High) - Hippie Sabotage Remix,"Tove Lo, Hippie Sabotage",Queen Of The Clouds,1,16
Really Don't Care,"Demi Lovato, Cher Lloyd",Demi,1,8
La La La,"Naughty Boy, Sam Smith",Hotel Cabana (Deluxe Version),1,8
Diamonds,Rihanna,Unapologetic (Deluxe),1,2
Do I Wanna Know?,Arctic Monkeys,AM,1,1
Bailando - Spanish Version,"Enrique Iglesias, Descemer Bueno, Gente De Zona",SEX AND LOVE (Deluxe),1,3
Anaconda,Nicki Minaj,The Pinkprint (Deluxe),1,12
Ain't It Fun,Paramore,Paramore,1,6
Paradise,Coldplay,Mylo Xyloto,1,3
Birthday,Katy Perry,PRISM (Deluxe),1,3
Heart Attack,Demi Lovato,Demi,1,1
Night Changes,One Direction,FOUR (Deluxe),1,7
Slow Down,Selena Gomez,Stars Dance (Bonus Track Version),1,2
Watch Me (Whip / Nae Nae),Silentó,Watch Me (Whip / Nae Nae),1,1
I Don't Mind (feat. Juicy J),"Usher, Juicy J",I Don't Mind (feat. Juicy J),1,1
Glad You Came,The Wanted,The Wanted (Special Edition),1,1
Confident,Demi Lovato,Confident (Deluxe Edition),1,1
Story of My Life,One Direction,Midnight Memories (Deluxe),1,2
We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),1,2
I Love It (feat. Charli XCX),"Icona Pop, Charli XCX",Iconic EP,1,1
Bitch Better Have My Money,Rihanna,Bitch Better Have My Money,1,1
Love Somebody,Maroon 5,Overexposed (Deluxe),1,6
Good Time,"Owl City, Carly Rae Jepsen",The Midsummer Station,1,7
